
175,Buds Public School,MUHAISNAH FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
176,Little Flower English School,HOR AL ANZ,KG 1 - GRADE 6 Academic CalendarFees Fact Sheet
177,Gulf Model School,MUHAISNAH FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
178,Pakistan Educational Academy,UMM HURAIR FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
179,H.H.Shaikh Rashid Al Maktoum Pakistani School,AL QUSAIS FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
180,Iranian Towheed Girls School,AL KARAMA,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
181,Iranian Khadije Kobra School,AL KARAMA,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
182,Iranian Salman Farsi Boys School,AL QUSAIS FIRST,GRADE 1 - GRADE 12 Academic CalendarFees Fact Sheet
183,North American International School L.L.C,AL MIZHAR FIRST,"KG 1 - GRADE 12
"
184,Modern Skills School L.L.C,MUHAISNAH FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
185,International Academic School,AL WARQA FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
186,The Philippine School,MUHAISANAH SECOND,"KG 1 - GRADE 12
"
187,Deira Private School,AL TWAR FIRST,FS 1 - YEAR 8 Academic CalendarFees Fact Sheet
188,The International School of Choueifat (Branch),DUBAI INVESTMENT PARK FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
189,Woodlem Park School L.L.C,AL QUSAIS FIRST,Pre primary - GRADE 10 Academic CalendarFees Fact Sheet
190,Vernus International Primary School - FZCO,Dubai Silicon Oasis,Pre primary - GRADE 5 Academic CalendarFees Fact Sheet
191,Oak Tree Primary School,AL QOUZ FOURTH,FS 1 - YEAR 6 Academic CalendarFees Fact Sheet
192,GEMS Albarsha National School - Dubai Branch,Al barsha South Second,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
193,Ignite School L.L.C,AL WARQA THIRD,Pre primary - GRADE 9 Academic CalendarFees Fact Sheet
194,Renaissance School L.L.C,Dubai Sports City,ECC (2-3) - GRADE 7 Academic CalendarFees Fact Sheet
195,Himayah School For Education Girls - Al Karama,AL KARAMA,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
196,Himayah School For Education Boys - Diera (Abu Hail),ABU HAIL,GRADE 1 - GRADE 12 Academic CalendarFees Fact Sheet
197,Bright Learners Private School L.L.C,AL RASHIDIYA,Pre primary - GRADE 7 Academic CalendarFees Fact Sheet
198,Al Ghaf Private School L.L.C,JABAL ALI FIRST,FS 1 - YEAR 8 Academic CalendarFees Fact Sheet
199,Cedar School L.L.C,AL WARQA FIRST,FS 1 - YEAR 8 Academic CalendarFees Fact Sheet
200,The School of Research Science US High School L.L.C,AL WARQA FOURTH,GRADE 9 - GRADE 12 Academic CalendarFees Fact Sheet
201,The Apple International Community School,AL KARAMA,FS 1 - YEAR 8 Academic CalendarFees Fact Sheet
202,DUBAI SCHOOLS CORPORATION AL KHAWANEEJ L.L.C,MIRDIF,KG 1 - GRADE 6 Academic CalendarFees Fact Sheet
203,Dubai Schools Corporation L.L.C Albarsha,Al barsha South Second,"KG 1 - GRADE 6
"
204,Emirates National Schools - Dubai Branch,AL KHWANEEJ FIRST,Pre primary - GRADE 7 Academic CalendarFees Fact Sheet
205,Pace Modern British School L.L.C,AL RASHIDIYA,FS 1 - YEAR 8 Academic CalendarFees Fact Sheet
206,National Charity School Primary,ABU HAIL,GRADE 1 - GRADE 4 Academic CalendarFees Fact Sheet
207,The National Charity School for Boys,AL GARHOUD,GRADE 5 - GRADE 12 Academic CalendarFees Fact Sheet
208,Dubai Arabian American Private School,MUHAISNAH FIRST,"KG 1 - GRADE 12
"
209,The Fifth Dimension Elementary School L.L.C,NADD AL SHIBA FOURTH,Pre primary - GRADE 5 Academic CalendarFees Fact Sheet
210,Dubai Modern Education School,AL MIZHAR FIRST,"KG 1 - GRADE 12,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet"
211,New World School Private L.L.C,AL TWAR FIRST,GRADE 12 - GRADE 12 Academic CalendarFees Fact Sheet
212,Al Thuraya Private School,AL GARHOUD,
213,Icademy Middle East Fz.Llc,Dubai Knowledge Park,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
214,Citizens School,AL SATWA,ECC (0-1) - YEAR 8 Academic CalendarFees Fact Sheet
215,Bloom World Academy L.L.C,AL BARSHA SECOND,ECC (1-2) - GRADE 10 Academic CalendarFees Fact Sheet
216,Durham School L.L.C,DUBAI INVESTMENT PARK FIRST,FS 1 - YEAR 9 Academic CalendarFees Fact Sheet
217,Dubai Schools Corporation Nad AlShiba L.L.C.,NADD AL SHIBA FOURTH,KG 1 - GRADE 6 Academic CalendarFees Fact Sheet
218,Arcadia Global School,Al Furjan,"FS 1 - YEAR 6
"
219,Dewvale School L.L.C,AL QOUZ THIRD,Pre primary - GRADE 5 Academic CalendarFees Fact Sheet
220,"GEMS METROPOLE School, Al Waha",Emirates Road,"FS 1 - YEAR 13, Academic CalendarFees Fact Sheet"
221,Dhruv Global school,Al Barsha South,Pre primary - GRADE 6 Academic CalendarFees Fact Sheet
222,Glendale International School LLC,OUD METHA,FS 1 - YEAR 6 Academic CalendarFees Fact Sheet
223,LYCEE FRANCAIS JEAN MERMOZ SOUTH L.L.C,Meadows,
224,Dubai British School Jumeira,JUMEIRA SECOND,
225,New Dawn Private School,MUHAISANAH FOURTH,
226,Springfield International School,AL AWIR FIRST,
227,BC Academy International School,UMM SUQEIM SECOND,
228,Hampton Heights International School,AL TWAR THIRD,
229,GEMS Founders School DS DWC-LLC,Dubai South HQ,
230,Rashid and Latifa School,NADD AL SHIBA FIRST,
